FEATURE1,FEATURE2,FEATURE3,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38
!F13,F3,!F6,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
!F1,F2,!F6,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N
F2,!F6,F7,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
F3,F5,!F8,N,Y,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N
!F0,F2,!F8,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N
!F1,F3,!F6,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N
F3,!F6,F7,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
!F0,F3,!F8,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N
F2,!F6,F9,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
F2,F7,!F8,N,N,Y,N,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
!F0,F5,!F6,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y
!F1,F2,!F8,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N
F3,!F6,F9,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
F5,!F6,F7,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y
F3,F7,!F8,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
!F1,F3,!F8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N
!F1,F5,!F6,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y
F2,!F8,F9,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
!F0,F5,!F8,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
!F0,!F1,!F6,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y
F3,!F8,F9,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
F5,F7,!F8,N,N,Y,N,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y
!F1,F5,!F8,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
F5,!F6,F9,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
!F0,!F1,!F8,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
F5,!F8,F9,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
F5,!F6,!F8,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y
F10,!F0,!F1,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
F10,F3,!F6,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
F10,F2,!F6,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N
F10,F3,!F8,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
F10,F5,!F6,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N
F10,F2,!F8,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N
F15,F2,!F6,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
F10,F5,!F8,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N
F15,F2,!F8,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
F13,!F0,!F6,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N
F14,F5,!F6,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N
F15,F3,!F6,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
F13,F5,!F6,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,Y,Y,N
F13,!F0,!F8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,Y,N
F14,!F1,!F6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
!F0,F15,!F6,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
F15,F5,!F6,N,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
F13,F5,!F8,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,Y,N
F15,F3,!F8,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
!F0,F15,!F8,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N
F14,!F1,!F8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
F15,F5,!F8,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N
F14,F15,!F6,N,N,N,Y,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
F3,F5,!F6,N,N,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N
!F1,!F3,F5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y
!F3,F5,F7,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y
!F2,!F3,F5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y
!F3,F5,F9,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
!F2,F5,!F6,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y
!F2,!F3,F8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
!F6,F7,F8,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
!F1,!F6,F8,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
!F2,!F6,F8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N
